iter	Passed	Remaining
340	2323	4490
341	2329	4482
342	2335	4474
343	2341	4465
344	2347	4457
345	2353	4449
346	2360	4441
347	2366	4433
348	2372	4425
349	2378	4416
350	2382	4405
351	2388	4397
352	2394	4389
353	2400	4381
354	2406	4373
355	2412	4365
356	2418	4356
357	2425	4348
358	2431	4340
359	2437	4332
360	2443	4324
361	2448	4316
362	2454	4307
363	2461	4300
364	2467	4292
365	2473	4284
366	2479	4277
367	2485	4269
368	2491	4261
369	2499	4255
370	2505	4248
371	2511	4240
372	2517	4232
373	2523	4224
374	2529	4215
375	2535	4207
376	2541	4200
377	2547	4192
378	2553	4184
379	2559	4176
380	2565	4167
381	2571	4159
382	2577	4152
383	2583	4143
384	2589	4135
385	2594	4127
386	2600	4119
387	2606	4110
388	2612	4102
389	2618	4094
390	2624	4087
391	2630	4079
392	2636	4072
393	2642	4064
394	2648	4055
395	2654	4048
396	2660	4040
397	2665	4032
398	2671	4024
399	2677	4015
400	2682	4007
401	2689	4000
402	2694	3992
403	2700	3984
404	2707	3977
405	2714	3971
406	2720	3963
407	2728	3958
408	2734	3951
409	2740	3944
410	2747	3937
411	2753	3930
412	2759	3922
413	2765	3915
414	2771	3907
415	2777	3899
416	2783	3891
417	2789	3883
418	2795	3876
419	2801	3868
420	2806	3859
421	2812	3851
422	2818	3844
423	2824	3836
424	2830	3829
425	2836	3821
426	2841	3813
427	2847	3805
428	2853	3797
429	2859	3789
430	2864	3782
431	2870	3774
432	2876	3766
433	2881	3758
434	2887	3750
435	2893	3743
436	2900	3736
437	2906	3729
438	2913	3723
439	2920	3716
440	2926	3709
441	2933	3703
442	2940	3697
443	2948	3691
444	2955	3685
445	2962	3679
446	2968	3672
447	2974	3664
448	2980	3657
449	2986	3650
450	2992	3642
451	2998	3635
452	3004	3627
453	3009	3619
454	3015	3612
455	3021	3604
456	3027	3597
457	3033	3589
458	3039	3581
459	3044	3574
460	3050	3567
461	3056	3559
462	3062	3551
463	3068	3544
464	3074	3536
465	3079	3529
466	3085	3521
467	3091	3514
468	3097	3506
469	3103	3499
470	3110	3493
471	3116	3486
472	3135	3493
473	3141	3486
474	3147	3478
475	3153	3471
476	3159	3464
477	3165	3457
478	3171	3449
479	3177	3442
480	3183	3434
481	3189	3427
482	3195	3420
483	3201	3412
484	3207	3405
485	3213	3398
486	3218	3390
487	3224	3383
488	3230	3376
489	3236	3368
490	3242	3361
491	3248	3354
492	3254	3346
493	3260	3339
494	3266	3332
495	3272	3325
496	3278	3317
497	3284	3310
498	3290	3303
499	3296	3296
500	3301	3288
501	3308	3281
502	3314	3275
503	3320	3268
504	3326	3260
505	3332	3253
506	3338	3246
507	3344	3238
508	3349	3231
509	3356	3224
510	3362	3217
511	3367	3209
512	3373	3202
513	3379	3195
514	3384	3187
515	3390	3180
516	3396	3173
517	3401	3164
518	3406	3157
519	3412	3149
520	3418	3142
521	3423	3135
522	3429	3128
523	3435	3120
524	3441	3113
525	3446	3106
526	3452	3098
527	3458	3091
528	3464	3084
529	3470	3077
530	3475	3069
531	3481	3062
532	3487	3055
533	3493	3048
534	3499	3041
535	3505	3034
536	3511	3027
537	3517	3020
538	3523	3013
539	3530	3007
540	3536	3000
541	3541	2992
542	3547	2985
543	3552	2978
544	3558	2970
545	3564	2963
546	3569	2956
547	3575	2949
548	3581	2942
549	3587	2934
550	3592	2927
551	3598	2920
552	3604	2913
553	3610	2906
554	3616	2899
555	3622	2892
556	3628	2885
557	3633	2878
558	3639	2871
559	3645	2864
560	3650	2856
561	3656	2849
562	3662	2842
563	3668	2835
564	3673	2828
565	3679	2821
566	3685	2814
567	3691	2807
568	3696	2800
569	3702	2793
570	3708	2786
571	3715	2779
572	3721	2773
573	3728	2767
574	3735	2760
575	3743	2755
576	3751	2749
577	3758	2744
578	3767	2739
579	3775	2734
580	3782	2728
581	3792	2723
582	3800	2718
583	3809	2713
584	3817	2708
585	3828	2704
586	3838	2700
587	3848	2696
588	3855	2690
589	3863	2684
590	3871	2678
591	3880	2674
592	3887	2668
593	3893	2661
594	3899	2654
595	3905	2647
596	3910	2639
597	3916	2632
598	3923	2626
599	3929	2619
600	3935	2612
601	3941	2605
602	3946	2598
603	3952	2591
604	3958	2584
605	3964	2577
606	3968	2569
607	3973	2561
608	3978	2554
609	3984	2547
610	3990	2540
611	3997	2534
612	4002	2527
613	4009	2520
614	4015	2513
615	4021	2506
616	4027	2499
617	4032	2492
618	4038	2485
619	4044	2478
620	4050	2471
621	4056	2464
622	4061	2457
623	4067	2451
624	4073	2443
625	4078	2436
626	4084	2429
627	4090	2422
628	4095	2415
629	4101	2408
630	4107	2401
631	4112	2394
632	4119	2388
633	4125	2381
634	4130	2374
635	4136	2367
636	4142	2360
637	4148	2353
638	4154	2346
639	4159	2339
640	4165	2332
641	4171	2326
642	4177	2319
643	4182	2312
644	4187	2304
645	4191	2297
646	4196	2289
647	4202	2282
648	4208	2276
649	4214	2269
650	4219	2262
651	4224	2254
652	4229	2247
653	4235	2240
654	4241	2233
655	4247	2227
656	4252	2220
657	4258	2213
658	4264	2206
659	4269	2199
660	4275	2192
661	4281	2185
662	4286	2178
663	4292	2172
664	4298	2165
665	4303	2158
666	4309	2151
667	4315	2144
668	4320	2137
669	4327	2131
670	4333	2124
671	4339	2118
672	4344	2110
673	4349	2103
674	4355	2097
675	4361	2090
676	4367	2083
677	4372	2076
678	4378	2070
679	4384	2063
680	4389	2056
681	4395	2049
682	4401	2042
683	4407	2036
684	4412	2029
685	4418	2022
686	4424	2015
687	4429	2008
688	4435	2002
689	4442	1995
690	4447	1988
691	4453	1982
692	4459	1975
693	4465	1968
694	4471	1962
695	4477	1955
696	4482	1948
697	4492	1943
698	4498	1937
699	4503	1930
700	4509	1923
701	4515	1917
702	4523	1910
703	4529	1904
704	4536	1898
705	4542	1891
706	4548	1884
707	4553	1878
708	4559	1871
709	4565	1864
710	4570	1857
711	4576	1851
712	4582	1844
713	4587	1837
714	4593	1830
715	4599	1824
716	4605	1817
717	4610	1810
718	4616	1804
719	4622	1797
720	4628	1791
721	4634	1784
722	4640	1777
723	4645	1771
724	4651	1764
725	4657	1757
726	4661	1750
727	4667	1743
728	4673	1737
729	4679	1730
730	4684	1723
731	4690	1717
732	4695	1710
733	4701	1703
734	4707	1697
735	4712	1690
736	4718	1683
737	4725	1677
738	4732	1671
739	4738	1664
740	4744	1658
741	4750	1651
742	4755	1645
743	4761	1638
744	4767	1631
745	4773	1625
746	4778	1618
747	4784	1611
748	4790	1605
749	4795	1598
750	4801	1591
751	4807	1585
752	4813	1578
753	4818	1572
754	4824	1565
755	4830	1558
756	4835	1552
757	4841	1545
758	4847	1539
759	4853	1532
760	4858	1525
761	4864	1519
762	4870	1512
763	4875	1506
764	4881	1499
765	4887	1492
766	4892	1486
767	4898	1479
768	4903	1473
769	4909	1466
770	4915	1459
771	4920	1453
772	4926	1446
773	4933	1440
774	4939	1434
775	4945	1427
776	4950	1420
777	4956	1414
778	4962	1407
779	4968	1401
780	4974	1394
781	4979	1388
782	4985	1381
783	4991	1375
784	4996	1368
785	5002	1361
786	5008	1355
787	5013	1348
788	5019	1342
789	5025	1335
790	5031	1329
791	5037	1323
792	5043	1316
793	5049	1310
794	5055	1303
795	5060	1297
796	5066	1290
797	5072	1284
798	5078	1277
799	5084	1271
800	5089	1264
801	5095	1257
802	5101	1251
803	5106	1244
804	5112	1238
805	5118	1231
806	5123	1225
807	5129	1218
808	5136	1212
809	5142	1206
810	5149	1199
811	5155	1193
812	5160	1187
813	5165	1180
814	5171	1173
815	5177	1167
816	5181	1160
817	5187	1154
818	5192	1147
819	5197	1140
820	5203	1134
821	5208	1127
822	5213	1121
823	5218	1114
824	5224	1108
825	5230	1101
826	5236	1095
827	5241	1088
828	5247	1082
829	5253	1075
830	5259	1069
831	5264	1063
832	5270	1056
833	5276	1050
834	5281	1043
835	5286	1037
836	5290	1030
837	5296	1023
838	5302	1017
839	5307	1011
840	5312	1004
841	5318	997
842	5323	991
843	5328	984
844	5333	978
845	5338	971
846	5344	965
847	5350	959
848	5356	952
849	5362	946
850	5367	939
851	5373	933
852	5379	927
853	5383	920
854	5389	914
855	5394	907
856	5400	901
857	5404	894
858	5410	888
859	5414	881
860	5420	875
861	5426	868
862	5432	862
863	5437	855
864	5443	849
865	5448	843
866	5452	836
867	5458	830
868	5463	823
869	5468	817
870	5474	810
871	5480	804
872	5485	797
873	5490	791
874	5495	785
875	5501	778
876	5506	772
877	5510	765
878	5515	759
879	5520	752
880	5524	746
881	5534	740
882	5540	734
883	5545	727
884	5550	721
885	5555	714
886	5561	708
887	5566	702
888	5571	695
889	5575	689
890	5580	682
891	5585	676
892	5590	669
893	5595	663
894	5599	656
895	5604	650
896	5609	644
897	5613	637
898	5618	631
899	5623	624
900	5628	618
901	5632	611
902	5638	605
903	5642	599
904	5648	592
905	5654	586
906	5659	580
907	5664	573
908	5670	567
909	5675	561
910	5679	554
911	5684	548
912	5689	542
913	5693	535
914	5698	529
915	5704	523
916	5708	516
917	5713	510
918	5718	503
919	5722	497
920	5728	491
921	5732	484
922	5737	478
923	5742	472
924	5747	466
925	5753	459
926	5758	453
927	5763	447
928	5768	440
929	5772	434
930	5777	428
931	5782	421
932	5787	415
933	5792	409
934	5797	403
935	5801	396
936	5807	390
937	5812	384
938	5817	377
939	5823	371
940	5828	365
941	5833	359
942	5838	352
943	5842	346
944	5847	340
945	5852	334
946	5857	327
947	5861	321
948	5866	315
949	5871	309
950	5876	302
951	5880	296
952	5885	290
953	5890	284
954	5894	277
955	5899	271
956	5904	265
957	5908	259
958	5913	252
959	5917	246
960	5922	240
961	5927	234
962	5931	227
963	5936	221
964	5941	215
965	5945	209
966	5950	203
967	5956	196
968	5962	190
969	5967	184
970	5972	178
971	5977	172
972	5982	166
973	5986	159
974	5991	153
975	5996	147
976	6001	141
977	6005	135
978	6010	128
979	6015	122
980	6020	116
981	6024	110
982	6029	104
983	6033	98
984	6038	91
985	6043	85
986	6047	79
987	6052	73
988	6056	67
989	6061	61
990	6065	55
991	6070	48
992	6075	42
993	6079	36
994	6084	30
995	6089	24
996	6094	18
997	6098	12
998	6103	6
999	6108	0
