iter	Logloss
0	0.6293858916
1	0.5710178461
2	0.5243929156
3	0.4758355839
4	0.4298826333
5	0.3898113886
6	0.3566066367
7	0.3251999103
8	0.2989210983
9	0.2785155357
10	0.2597187498
11	0.240298521
12	0.2240051596
13	0.2112479824
14	0.1980559906
15	0.1874424128
16	0.1767490505
17	0.1651101691
18	0.1548567375
19	0.1462384609
20	0.1397527246
21	0.1335437948
22	0.1266896199
23	0.1217435308
24	0.1172081804
25	0.1129284501
26	0.1082887474
27	0.1048064765
28	0.10154709
29	0.09885305458
30	0.09564717257
31	0.09310751672
32	0.09034443678
33	0.088281208
34	0.08642852529
35	0.08421185889
36	0.08247869422
37	0.08082368687
38	0.07909679575
39	0.07743104237
40	0.07606172763
41	0.07498032576
42	0.07361164905
43	0.07278915896
44	0.0718648199
45	0.07081893149
46	0.06984178874
47	0.06880481165
48	0.06787800008
49	0.06709638827
50	0.06625566423
51	0.06537488478
52	0.06477253306
53	0.06407341215
54	0.06318840181
55	0.06263107125
56	0.06212241004
57	0.06151819078
58	0.06090047492
59	0.06022597343
60	0.05985880061
61	0.05937807055
62	0.05889891446
63	0.05848421423
64	0.05811866163
65	0.05759136032
66	0.05737372346
67	0.05697510549
68	0.05672602254
69	0.05628035109
70	0.0559254278
71	0.05554279729
72	0.05521075288
73	0.0549508313
74	0.05472326644
75	0.05452131552
76	0.05407008283
77	0.05388420871
78	0.05363811265
79	0.05347214154
80	0.05323037079
81	0.05290340372
82	0.05268005867
83	0.05241513681
84	0.05220869402
85	0.05187981102
86	0.05158175774
87	0.05125620339
88	0.05102017092
89	0.05079240667
90	0.0504540047
91	0.05028658375
92	0.05013424813
93	0.04979848123
94	0.04966142759
95	0.04942230924
96	0.04924935676
97	0.04903500059
98	0.04873106101
99	0.0485469817
100	0.04842562836
101	0.04821468284
102	0.04805064042
103	0.04768284792
104	0.04731082717
105	0.04713689437
106	0.04688816829
107	0.0467151782
108	0.0466105087
109	0.04646126708
110	0.04630400829
111	0.04620078798
112	0.04605616481
113	0.04580939053
114	0.04561979415
115	0.04530742302
116	0.04506947362
117	0.04487125865
118	0.04470942585
119	0.04449074307
120	0.04431939785
121	0.04418135421
122	0.04400682199
123	0.04384177321
124	0.04365358156
125	0.04338830113
126	0.04323066909
127	0.0430425953
128	0.04289440061
129	0.04268755704
130	0.04258676225
131	0.04240950536
132	0.04232385472
133	0.042209777
134	0.04205657484
135	0.04195895664
136	0.04174212063
137	0.04164126809
138	0.04147900582
139	0.04135019973
140	0.04113832433
141	0.0409189336
142	0.04074991688
143	0.04051101201
144	0.04038742164
145	0.04025121356
146	0.04015399292
147	0.03993132373
148	0.03975062454
149	0.03967247307
150	0.0395381176
151	0.03929880449
152	0.03913767152
153	0.03902249681
154	0.03891524808
155	0.03876837402
156	0.03860030934
157	0.03850592759
158	0.03834249648
159	0.03813039319
160	0.03798195509
161	0.03774808249
162	0.03757824019
163	0.03743069005
164	0.03730692741
165	0.03720442146
166	0.03702560117
167	0.0369293819
168	0.03678118998
169	0.03664568469
170	0.03653174655
171	0.03634004185
172	0.03612531552
173	0.03598784995
174	0.03586934432
175	0.03578058475
176	0.03571426314
177	0.03550367567
178	0.03544989789
179	0.03526967478
180	0.03517780245
181	0.03498151559
182	0.03486015998
183	0.03468935265
184	0.03457931967
185	0.03449856994
186	0.03441453035
187	0.03421023513
188	0.03406083716
189	0.03394613882
190	0.03375549001
191	0.03357506755
192	0.03338350281
193	0.03313010327
194	0.03297206074
195	0.03286047208
196	0.03268676666
