N,MAE,RMSE,MAPE(%),Accuracy%(=100-MAPE),R2,WEATHER_COMBO
439,3212875.352679207,6358969.516832605,94.91505947246867,5.08494052753133,0.5376928539417138,"(0.0, 5.0]_NO_RAIN"
2623,3690961.9064704524,14622648.340167452,167.4850164362136,0.0,0.41235090278136277,"(10.0, 15.0]_NO_RAIN"
394,2873437.6322575873,7485282.038988087,190.72146765412194,0.0,0.6990272174654741,"(10.0, 15.0]_RAINY"
2975,2605764.1386147994,6895200.173624588,299.29972386288216,0.0,0.5772830391459873,"(15.0, 20.0]_NO_RAIN"
1828,3173761.1598507403,9213192.157690024,273.5725100244914,0.0,0.5279014906850358,"(15.0, 20.0]_RAINY"
2292,2866346.2643383085,8614288.681193817,209.1202208562398,0.0,0.5737379404734947,"(20.0, 25.0]_NO_RAIN"
296,2852835.989752692,8144920.08472947,437.291179914103,0.0,0.5498169650132256,"(20.0, 25.0]_RAINY"
1937,3326140.1398244533,9940859.713228296,207.45124822144888,0.0,0.5331170630245813,"(5.0, 10.0]_NO_RAIN"
